id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,toolkit_version,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
74069942,Alegre (2019),2019,['Peer tutoring'],NA,,['MT_2023 (in progress)'],NA,"['Page 5:\n[¬s]""A total of 380 students participated during the whole peer tutoring program as four students left the school after the beginning (turnover ratio of about 1%).""\n""A total of 130 students\nin 7th grade were assigned to the experimental group and 115 students also in 7th grade were[¬e]""', 'Page 6:\n[¬s]""assigned to the control group. Besides, 70 students in 8th grade were assigned to the\nexperimental group and the remaining 65 students in 8th grade were assigned to the control\ngroup.[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""About 52% were female and 48% were male.[¬e]""']",52,,NA,NA,,NA,"['Page 5:\n[¬s]""Almost all of them came from an urban zone and\ntheir families’ socioeconomic background was average.[¬e]""']",,NA,NA,,"['Page 16:\n[¬s]""130""\n""70[¬e]""']",190,,"['Page 16:\n[¬s]""115""\n""65[¬e]""']",180,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74069943,Aleid (2015),2015,['Peer tutoring'],NA,,['MT_2023 (in progress)'],640,"['Page 174:\n[¬s]""640""\n""Table 5-1: The main study sample[¬e]""']",,['Male only'],"['Page 150:\n[¬s]""Male students in the fourth year were chosen to represent the elementary school\nstudents in this study.[¬e]""']",NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 159:\n[¬s]""Peer tutoring\n(n=57)""\n""Peer tutoring and\nmanipulatives\n(n=56)[¬e]""']",113,,"['Page 159:\n[¬s]""Control\n(n=47)""\n""Manipulative\n(n=52)[¬e]""']",99,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74069944,Alwi (2016),2016,['Peer tutoring'],NA,,['MT_2023 (in progress)'],137,"['Page 1:\n[¬s]""A sample of 137 students were taken from one by convince\nrandom sampling method selected school of low economic people\nresident area of Karachi orangi town Karachi.[¬e]""', 'Page 2:\n[¬s]""52 students from class II and III nominated institute were\npretested complete a self-developed accomplishment exam. On the\nbasis of pre- test results and the willingness of the students, paid\nof students were made on both classes. Students were paired as\nlearning partners during the reading sessions.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,"['Page 1:\n[¬s]""A sample of 137 students were taken from one by convince\nrandom sampling method selected school of low economic people\nresident area of Karachi orangi town Karachi. T[¬e]""']",,NA,NA,,NA,260,,NA,260,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74069945,Amaka (2013),2013,['Peer tutoring'],NA,,['MT_2023 (in progress)'],NA,"['Page 1:\n[¬s]""145 SS1 students[¬e]""', 'Page 3:\n[¬s]""Group\nN\nExperinmental 75\nControl\n70[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 3:\n[¬s]""75[¬e]""']",75,,"['Page 3:\n[¬s]""70[¬e]""']",70,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74069946,Andriana (2018),2018,['Peer tutoring'],NA,,['MT_2023 (in progress)'],56,"['Page 3:\n[¬s]""In this research, the researchers took samples from all\nstudents of class VIII-B as the experimental class and class VIII-C as the control class with\nthe same number of students, namely 28.[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 3:\n[¬s]""28.[¬e]""']",28,,"['Page 3:\n[¬s]""28.[¬e]""']",28,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74069947,Bellen (2017),2017,['Peer tutoring'],NA,,['MT_2023 (in progress)'],not specified,NA,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 4:\n[¬s]""Figure 1 . Grouping of Grade 8 Science students[¬e]""']",30,,"['Page 4:\n[¬s]""Figure 1 . Grouping of Grade 8 Science students[¬e]""']",15,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
74069948,Bemboom (2013),2013,['Peer tutoring'],NA,,['MT_2023 (in progress)'],57 ,"['Page 5:\n[¬s]""TABLE 1 Demographic Data by District and Treatment Group""\n""Total N""\n""30""\n""27""\n""Teacher Directed (TD)""\n""Peer Mediated (PM)[¬e]""']",,['Mixed gender'],"['Page 5:\n[¬s]""Males""\n""Teacher Directed (TD)\n20 (67%)""\n""Peer Mediated (PM)\n18 (67%)""\n""Total\n38 (67%)[¬e]""']",33,,30,"['Page 5:\n[¬s]""Free/reduced lunch (FRL)""\n""6 (20%)""\n""11 (41%)""\n""17 (30%)""\n""Total""\n""Peer Mediated (PM)""\n""Teacher Directed (TD)""\n""Demographic Data by District and Treatment Group[¬e]""']",,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""27[¬e]""']",27,,"['Page 5:\n[¬s]""36[¬e]""']",36,,NA,NA,,NA,NA,,NA,27,,NA,36,,NA,NA,,NA,NA,,['Yes'],"['Page 8:\n[¬s]""aMissing one pre-MAP score and two post-MAP scores.[¬e]""']",NA,,NA,0.3,,NA,NA,
74069949,Berso (2020),2020,['Peer tutoring'],NA,,['MT_2023 (in progress)'],not specified,NA,,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,NA,30,,NA,120,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
61218177,Calhoon (2006) PT,2006,['Peer tutoring'],NA,,['MT_2023 (in progress)'],96,"['Page 3:\n[¬s]""96[¬e]""']",,['Mixed gender'],NA,NA,,75,"['Page 3:\n[¬s]""75 percent of students received free and reduced lunch[¬e]""']",,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""41[¬e]""']",41,,"['Page 3:\n[¬s]""37[¬e]""']",37,,NA,NA,,NA,NA,,NA,41,,NA,37,,NA,NA,,NA,NA,,['Yes'],NA,NA,,"['Page 3:\n[¬s]""At the start of the study, there were 96 ﬁrst-grade students;\nduring the course ofimplementation, 18 students moved leav-\ning a total of78 students who began and ﬁnished the projec[¬e]""']",18,,NA,18,
74069950,Connelly (2010),2010,['Peer tutoring'],NA,,['MT_2023 (in progress)'],50,"['Page 26:\n[¬s]""The experimental class used CWPT methods and consisted of\n14 females and 12 male students. In contrast, the traditionally taught class contained 11 female\nstudents and 13 males.[¬e]""']",,['Mixed gender'],"['Page 26:\n[¬s]""The experimental class used CWPT methods and consisted of\n14 females and 12 male students. In contrast, the traditionally taught class contained 11 female\nstudents and 13 males.[¬e]""']",NA,,NA,"['Page 26:\n[¬s]""The majority of the students involved in the study were middle class,\nbut there were 4 students in the experimental class and 3 students in the control class that\nreceived reduced lunch, which indicated that they came from lower-income households.[¬e]""']",,NA,NA,,NA,NA,,"['Page 26:\n[¬s]""experimental class used CWPT methods and consisted of\n14 females and 12 male students[¬e]""']",26,,"['Page 26:\n[¬s]""the traditionally taught class contained 11 female\nstudents and 13 males[¬e]""']",24,,NA,NA,,NA,NA,,NA,26,,NA,24,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,
